year,address,storeys,units,score,parkings,elevators,windows,cleanliness,Decade,Average_Score
1962,150 THE DONWAY W,6,65,84,2,3,3,3,1960,87.9720394736842
1966,340 THE EAST MALL,8,82,91,2,3,3,3,1960,87.9720394736842
1983,55 THE ESPLANADE,12,166,91,2,3,3,3,1980,89.2235294117647
1997,85 THE ESPLANADE,7,128,87,2,3,2,3,1990,88.76712328767124
1993,140 THE ESPLANADE,7,102,89,1,3,2,3,1990,88.76712328767124
2006,176 THE ESPLANADE,7,220,92,0,3,3,2,2000,91.13793103448276
1961,32 THE HEIGHTS DR,4,55,91,3,3,3,3,1960,87.9720394736842
1966,289 THE KINGSWAY,17,73,95,0,3,3,3,1960,87.9720394736842
1977,290 THE KINGSWAY,4,22,78,1,0,2,3,1970,88.4402489626556
1962,307 THE KINGSWAY,3,26,88,2,0,2,3,1960,87.9720394736842
1952,308 THE KINGSWAY,4,34,89,1,0,2,3,1950,86.53728070175438
1955,309 THE KINGSWAY,4,34,89,2,0,3,3,1950,86.53728070175438
1970,316 THE KINGSWAY,4,17,82,2,0,3,3,1970,88.4402489626556
1963,16 THE LINKS RD,4,102,90,2,3,3,2,1960,87.9720394736842
1993,773 THE QUEENSWAY,3,63,98,3,3,3,3,1990,88.76712328767124
1970,320 THE WEST MALL,3,17,84,2,0,3,3,1970,88.4402489626556
1968,328 THE WEST MALL,3,32,87,3,3,3,3,1960,87.9720394736842
1970,329 THE WEST MALL,5,45,95,3,3,3,3,1970,88.4402489626556
1950,339 THE WEST MALL,5,51,77,2,3,3,2,1950,86.53728070175438
1962,350 THE WEST MALL,6,55,95,2,3,3,3,1960,87.9720394736842
1960,351 THE WEST MALL,5,49,88,2,3,1,3,1960,87.9720394736842
1970,361 THE WEST MALL,19,141,88,2,3,3,3,1970,88.4402489626556
1962,505 THE WEST MALL,6,59,91,2,3,3,3,1960,87.9720394736842
1970,555 THE WEST MALL,15,119,96,2,3,3,3,1970,88.4402489626556
1962,416 THE WESTWAY,9,103,85,2,3,3,2,1960,87.9720394736842
1962,30 THELMA AVE,3,32,78,2,3,3,2,1960,87.9720394736842
1970,11 THIRTY THIRD ST,3,23,89,3,0,3,3,1970,88.4402489626556
1970,15 THIRTY THIRD ST,3,36,88,3,0,3,2,1970,88.4402489626556
2016,55 THORA AVE,4,20,98,3,3,3,3,2010,96
1985,18 THORNCLIFFE PARK DR,7,109,89,1,3,3,3,1980,89.2235294117647
1959,22 THORNCLIFFE PARK DR,7,60,90,1,3,3,3,1950,86.53728070175438
1975,23 THORNCLIFFE PARK DR,6,77,75,1,3,1,1,1970,88.4402489626556
1960,26 THORNCLIFFE PARK DR,6,62,97,1,3,3,3,1960,87.9720394736842
1964,35 THORNCLIFFE PARK DR,18,287,74,2,3,3,1,1960,87.9720394736842
1962,42 THORNCLIFFE PARK DR,6,60,82,1,3,3,1,1960,87.9720394736842
1965,43 THORNCLIFFE PARK DR,20,380,74,1,3,3,1,1960,87.9720394736842
1964,44 THORNCLIFFE PARK DR,6,90,88,2,3,3,2,1960,87.9720394736842
1968,53 THORNCLIFFE PARK DR,20,279,94,3,3,3,3,1960,87.9720394736842
1960,54 THORNCLIFFE PARK DR,6,71,88,3,3,2,2,1960,87.9720394736842
1960,58 THORNCLIFFE PARK DR,6,71,93,1,3,3,3,1960,87.9720394736842
1967,65 THORNCLIFFE PARK DR,20,332,72,1,3,1,1,1960,87.9720394736842
1966,75 THORNCLIFFE PARK DR,17,308,88,2,3,3,3,1960,87.9720394736842
1966,79 THORNCLIFFE PARK DR,17,319,86,1,3,1,3,1960,87.9720394736842
1971,85 THORNCLIFFE PARK DR,43,500,83,2,3,3,2,1970,88.4402489626556
1960,3 THORNTON AVE,3,17,86,2,0,3,3,1960,87.9720394736842
1938,14 TICHESTER RD,4,32,83,3,0,2,3,1930,84.36363636363636
1956,21 TICHESTER RD,12,117,89,2,3,2,3,1950,86.53728070175438
1938,22 TICHESTER RD,4,32,81,0,0,1,3,1930,84.36363636363636
1972,15 TOBERMORY DR,24,374,77,2,3,2,2,1970,88.4402489626556
1950,14 TORBOLTON DR,3,16,83,1,0,3,3,1950,86.53728070175438
1960,15 TORBOLTON DR,3,19,87,2,0,1,3,1960,87.9720394736842
1962,40 TORBOLTON DR,3,17,87,2,0,1,3,1960,87.9720394736842
1954,39 TORRENS AVE,3,28,90,3,0,2,3,1950,86.53728070175438
1950,257 TORRENS AVE,3,17,100,3,0,3,3,1950,86.53728070175438
1978,120 TORRESDALE AVE,16,246,98,3,3,3,3,1970,88.4402489626556
1973,8 TREE SPARROWAY,4,16,81.1,1,0,3,3,1970,88.4402489626556
1956,2 TREEWOOD ST,7,82,98,3,3,3,3,1950,86.53728070175438
1992,20 TRENT AVE,8,111,95,2,3,3,3,1990,88.76712328767124
1960,40 TRETHEWEY DR,3,45,77,2,0,3,3,1960,87.9720394736842
1956,96 TRETHEWEY DR,3,12,89,2,0,3,3,1950,86.53728070175438
1950,98 TRETHEWEY DR,3,10,70,1,0,3,2,1950,86.53728070175438
1950,100 TRETHEWEY DR,3,11,85,1,0,3,3,1950,86.53728070175438
1974,710 TRETHEWEY DR,19,165,96,3,3,3,3,1970,88.4402489626556
1964,20 TRUDELLE ST,6,84,90,1,3,3,3,1960,87.9720394736842
1963,25 TRUDELLE ST,6,66,82,2,3,1,3,1960,87.9720394736842
1960,30 TRUDELLE ST,6,58,97,2,3,3,3,1960,87.9720394736842
1963,45 TRUDELLE ST,6,66,88,2,3,2,3,1960,87.9720394736842
1968,30 TUXEDO CRT,15,214,94,3,3,3,3,1960,87.9720394736842
1971,50 TUXEDO CRT,15,378,86,2,3,2,3,1970,88.4402489626556
1970,105 TWENTY FIFTH ST,3,29,62,1,0,2,2,1970,88.4402489626556
1968,6 TWENTY FOURTH ST,7,81,98,3,3,3,3,1960,87.9720394736842
1965,24 TYNDALL AVE,7,73,100,3,3,3,3,1960,87.9720394736842
1965,40 TYNDALL AVE,7,65,93,2,3,3,3,1960,87.9720394736842
1959,60 TYNDALL AVE,9,69,93,2,3,3,2,1950,86.53728070175438
1957,99 TYNDALL AVE,9,70,96,2,3,3,3,1950,86.53728070175438
1965,100 TYNDALL AVE,6,48,91,2,3,2,2,1960,87.9720394736842
1960,110 TYNDALL AVE,3,26,87,2,0,2,3,1960,87.9720394736842
1960,112 TYNDALL AVE,3,27,87,2,0,2,3,1960,87.9720394736842
1963,115 TYNDALL AVE,10,108,94,2,3,3,3,1960,87.9720394736842
1957,130 TYNDALL AVE,5,37,88,2,3,3,3,1950,86.53728070175438
1961,60 UNDERHILL DR,4,57,95,2,3,3,3,1960,87.9720394736842
1983,110 UNITY RD,8,174,90,1,3,3,3,1980,89.2235294117647
1959,28 UPPER CANADA DR,4,54,99,3,3,3,3,1950,86.53728070175438
1965,29 UPPER CANADA DR,4,54,84,2,3,3,2,1960,87.9720394736842
1959,30 UPPER CANADA DR,4,54,99,3,3,3,3,1950,86.53728070175438
1965,31 UPPER CANADA DR,4,61,97,2,3,3,3,1960,87.9720394736842
1965,44 VALLEY WOODS RD,22,263,91,2,3,3,3,1960,87.9720394736842
1968,225 VAN HORNE AVE,13,153,96,3,3,3,3,1960,87.9720394736842
1969,335 VAN HORNE AVE,14,125,98,3,3,3,3,1960,87.9720394736842
1957,22 VARNA DR,3,31,74,3,0,2,1,1950,86.53728070175438
1975,21 VAUGHAN RD,23,173,97,3,3,3,3,1970,88.4402489626556
1928,42 VAUGHAN RD,3,15,88,0,0,3,3,1920,83.97142857142858
1920,101 VAUGHAN RD,4,32,88,0,0,3,3,1920,83.97142857142858
1947,113 VAUGHAN RD,3,12,79,3,0,3,2,1940,83.27777777777777
1929,118 VAUGHAN RD,4,32,92,2,0,3,3,1920,83.97142857142858
1950,125 VAUGHAN RD,4,32,83,0,0,2,2,1950,86.53728070175438
1977,130 VAUGHAN RD,9,99,91,3,3,3,3,1970,88.4402489626556
1920,172 VAUGHAN RD,3,24,92,3,0,3,3,1920,83.97142857142858
1929,175 VAUGHAN RD,4,29,89,0,0,3,3,1920,83.97142857142858
1955,180 VAUGHAN RD,4,22,76,3,0,3,3,1950,86.53728070175438
1920,195 VAUGHAN RD,4,32,92,0,0,3,2,1920,83.97142857142858
1955,197 VAUGHAN RD,6,42,82,2,3,3,2,1950,86.53728070175438
2009,201 VAUGHAN RD,3,30,82,2,3,3,2,2000,91.13793103448276
1930,205 VAUGHAN RD,3,46,81,0,0,2,2,1930,84.36363636363636
1958,210 VAUGHAN RD,4,25,80,0,0,2,2,1950,86.53728070175438
1955,214 VAUGHAN RD,6,31,95,2,3,3,3,1950,86.53728070175438
1926,231 VAUGHAN RD,4,52,80,0,0,3,2,1920,83.97142857142858
1957,481 VAUGHAN RD,7,97,88,2,3,3,2,1950,86.53728070175438
1966,795 VAUGHAN RD,8,106,75,2,3,2,1,1960,87.9720394736842
2017,2 VENA WAY,29,272,99,2,3,3,3,2010,96
2016,6 VENA WAY,10,186,99,3,3,3,3,2010,96
1900,2 VERMONT AVE,3,16,66,0,0,1,1,1900,81.1875
1959,630 VESTA DR,7,70,92,2,3,2,3,1950,86.53728070175438
1962,1055 VICTORIA PARK AVE,6,52,99,3,3,3,3,1960,87.9720394736842
1964,1065 VICTORIA PARK AVE,6,37,93,2,3,2,3,1960,87.9720394736842
1954,1601 VICTORIA PARK AVE,4,54,77,1,0,1,3,1950,86.53728070175438
1954,1607 VICTORIA PARK AVE,4,54,81,3,0,3,3,1950,86.53728070175438
1960,1617 VICTORIA PARK AVE,4,59,89,1,3,3,3,1960,87.9720394736842
1954,1637 VICTORIA PARK AVE,4,26,83,3,0,2,3,1950,86.53728070175438
1964,1651 VICTORIA PARK AVE,8,67,90,1,3,3,3,1960,87.9720394736842
1987,1684 VICTORIA PARK AVE,8,112,86,2,3,3,3,1980,89.2235294117647
1954,1689 VICTORIA PARK AVE,4,54,92,2,0,3,3,1950,86.53728070175438
1966,1698 VICTORIA PARK AVE,5,52,80,1,3,2,3,1960,87.9720394736842
1958,1700 VICTORIA PARK AVE,5,54,96,2,3,3,3,1950,86.53728070175438
1966,1704 VICTORIA PARK AVE,7,93,98,3,3,3,3,1960,87.9720394736842
